gasoline_shock_pct,other_motor_fuel_shock_pct,september_cpi_w_all_items,q3_cpi_w_average,cola_raw_pct,cola_rounded_pct
10.0,255.00000000000003,331.2123722888947,328.9324574296316,3.677620607914619,3.7
10.0,260.0,331.2299742266303,328.9383247422101,3.6794699511270736,3.7
10.0,265.00000000000006,331.2475761643659,328.94419205478863,3.681319294339528,3.7
10.0,270.0,331.2651781021015,328.9500593673672,3.6831686375520003,3.7
10.0,275.0,331.2827800398371,328.9559266799457,3.6850179807644547,3.7
10.0,280.0,331.3003819775727,328.96179399252424,3.686867323976909,3.7
10.0,285.0,331.3179839153083,328.9676613051028,3.6887166671893814,3.7
10.0,290.00000000000006,331.3355858530439,328.9735286176813,3.690566010401836,3.7
10.0,295.0,331.3531877907795,328.97939593025984,3.6924153536142903,3.7
10.0,300.0,331.3707897285151,328.98526324283836,3.6942646968267447,3.7
15.000000000000002,0.0,330.9679192096882,328.8509730698961,3.651937205917286,3.7
15.000000000000002,5.0,330.9855211474238,328.8568403824746,3.6537865491297405,3.7
15.000000000000002,10.0,331.0031230851594,328.86270769505313,3.655635892342195,3.7
15.000000000000002,15.000000000000002,331.020725022895,328.8685750076317,3.6574852355546676,3.7
15.000000000000002,20.0,331.0383269606306,328.8744423202102,3.659334578767122,3.7
15.000000000000002,25.0,331.0559288983662,328.88030963278874,3.6611839219795765,3.7
15.000000000000002,30.000000000000004,331.0735308361018,328.88617694536725,3.663033265192031,3.7
15.000000000000002,35.0,331.0911327738374,328.8920442579458,3.664882608404503,3.7
15.000000000000002,40.0,331.108734711573,328.89791157052434,3.6667319516169576,3.7
15.000000000000002,45.0,331.1263366493086,328.90377888310286,3.668581294829412,3.7
15.000000000000002,50.0,331.1439385870442,328.90964619568143,3.6704306380418843,3.7
15.000000000000002,55.00000000000001,331.16154052477975,328.91551350825995,3.6722799812543387,3.7
15.000000000000002,60.00000000000001,331.17914246251536,328.92138082083846,3.674129324466793,3.7
15.000000000000002,65.0,331.19674440025096,328.927248133417,3.6759786676792476,3.7
15.000000000000002,70.0,331.21434633798657,328.93311544599555,3.6778280108917203,3.7
15.000000000000002,75.0,331.2319482757222,328.93898275857407,3.6796773541041747,3.7
15.000000000000002,80.0,331.2495502134578,328.9448500711526,3.681526697316629,3.7
15.000000000000002,85.00000000000001,331.26715215119333,328.95071738373116,3.6833760405291014,3.7
15.000000000000002,90.0,331.28475408892893,328.9565846963097,3.685225383741556,3.7
15.000000000000002,95.0,331.30235602666454,328.9624520088882,3.6870747269540103,3.7
15.000000000000002,100.0,331.31995796440015,328.9683193214667,3.6889240701664647,3.7
15.000000000000002,105.0,331.33755990213575,328.9741866340453,3.6907734133789374,3.7
15.000000000000002,110.00000000000001,331.35516183987136,328.9800539466238,3.692622756591392,3.7
15.000000000000002,115.00000000000001,331.3727637776069,328.9859212592023,3.6944720998038463,3.7
15.000000000000002,120.00000000000001,331.3903657153425,328.9917885717809,3.6963214430163185,3.7
15.000000000000002,125.0,331.4079676530781,328.9976558843594,3.698170786228773,3.7
15.000000000000002,130.0,331.4255695908137,329.0035231969379,3.7000201294412274,3.7
15.000000000000002,135.0,331.4431715285493,329.00939050951644,3.701869472653682,3.7
15.000000000000002,140.0,331.46077346628493,329.015257822095,3.703718815866154,3.7
15.000000000000002,145.00000000000003,331.47837540402054,329.0211251346735,3.7055681590786085,3.7
15.000000000000002,150.0,331.4959773417561,329.02699244725204,3.707417502291063,3.7
15.000000000000002,155.0,331.5135792794917,329.0328597598306,3.7092668455035356,3.7
15.000000000000002,160.0,331.5311812172273,329.03872707240913,3.71111618871599,3.7
15.000000000000002,165.0,331.5487831549629,329.04459438498765,3.7129655319284445,3.7
15.000000000000002,170.00000000000003,331.5663850926985,329.05046169756616,3.714814875140899,3.7
15.000000000000002,175.0,331.5839870304341,329.05632901014474,3.716664218353371,3.7
15.000000000000002,180.0,331.60158896816966,329.0621963227232,3.718513561565808,3.7
15.000000000000002,185.0,331.61919090590527,329.06806363530177,3.72036290477828,3.7
15.000000000000002,190.0,331.6367928436409,329.07393094788034,3.7222122479907527,3.7
15.000000000000002,195.00000000000003,331.6543947813765,329.07979826045886,3.724061591203207,3.7
15.000000000000002,200.0,331.6719967191121,329.0856655730374,3.7259109344156616,3.7
15.000000000000002,205.00000000000003,331.6895986568477,329.0915328856159,3.727760277628116,3.7
15.000000000000002,210.0,331.70720059458324,329.0974001981944,3.7296096208405705,3.7
15.000000000000002,215.0,331.72480253231885,329.1032675107729,3.731458964053025,3.7
15.000000000000002,220.00000000000003,331.74240447005445,329.1091348233515,3.733308307265497,3.7
15.000000000000002,225.0,331.76000640779006,329.11500213593007,3.7351576504779693,3.7
15.000000000000002,230.00000000000003,331.77760834552566,329.1208694485086,3.7370069936904238,3.7
15.000000000000002,235.0,331.79521028326127,329.1267367610871,3.738856336902878,3.7
15.000000000000002,240.00000000000003,331.8128122209968,329.1326040736656,3.740705680115333,3.7
15.000000000000002,245.00000000000003,331.8304141587324,329.13847138624413,3.7425550233277876,3.7
15.000000000000002,250.0,331.84801609646803,329.14433869882265,3.744404366540242,3.7
