target_cola_pct,required_september_cpi_w,diesel_only_shock_pct,diesel_price_if_only_diesel,direct_index_increment_at_threshold,indirect_index_increment_at_threshold
6.2,354.7443310000001,6322.509488843488,356.2566013461483,22.2576836710679,3.478465355170651
6.3,355.69612499999994,6583.374204513113,370.72676712434236,23.176028567594052,3.5119144586443376
6.4,356.6479189999998,6844.589812675396,385.2163969091042,24.095608741681733,3.544128284556484
6.5,357.59971299999984,7106.131693968999,399.72412506446034,25.016337523637873,3.5751935026004085
6.6,358.5515069999999,7367.977706555106,414.24872338261173,25.938136965608837,3.6051880606295508
6.7,359.50330099999996,7630.1078669724675,428.7890833809627,26.860936718066483,3.634182308171943
6.8,360.4550949999998,7892.504080467242,443.3442013435179,27.78467308046473,3.6622399457735293
6.9,361.40688899999986,8155.149911917806,457.9131656140807,28.709288194806078,3.689418831432243
7.0,362.35868300000016,,,0.0,0.0
7.1,363.310477,,,0.0,0.0
7.2,364.2622709999998,,,0.0,0.0
7.3,365.2140649999999,,,0.0,0.0
7.4,366.16585899999995,,,0.0,0.0
7.5,367.1176529999998,,,0.0,0.0
7.6,368.06944699999985,,,0.0,0.0
7.7,369.0212409999999,,,0.0,0.0
7.8,369.973035,,,0.0,0.0
7.9,370.92482900000005,,,0.0,0.0
8.0,371.8766229999999,,,0.0,0.0
